id,industry,code,name
ciiu_1523,15,1523,"Fabricación de partes del calzado"
ciiu_1610,16,1610,"Aserrado  acepillado e impregnación de la madera"
ciiu_1620,16,1620,"Fabricación de hojas de madera para enchapado, fabricación de tableros contrachapados  tableros laminados  tableros de partículas y otros tableros y paneles"
ciiu_1630,16,1630,"Fabricación de partes y piezas de madera  de carpintería y ebanistería para la construcción"
ciiu_1640,16,1640,"Fabricación de recipientes de madera"
ciiu_1690,16,1690,"Fabricación de otros productos de madera, fabricación de artículos de corcho  cestería y espartería"
ciiu_1701,17,1701,"Fabricación de pulpas (pastas) celulósicas, papel y cartón"
ciiu_1702,17,1702,"Fabricación de papel y cartón ondulado (corrugado), fabricación de envases  empaques y de embalajes de papel y cartón."
ciiu_1709,17,1709,"Fabricación de otros artículos de papel y cartón"
ciiu_1811,18,1811,"Actividades de impresión"
ciiu_1812,18,1812,"Actividades de servicios relacionados con la impresión"
ciiu_1820,18,1820,"Producción de copias a partir de grabaciones originales "
ciiu_1910,19,1910,"Fabricación de productos de hornos de coque"
ciiu_1921,19,1921,"Fabricación de productos de la refinación del petróleo"
ciiu_1922,19,1922,"Actividad de mezcla de combustibles"
ciiu_2011,20,2011,"Fabricación de sustancias y productos químicos básicos"
ciiu_2012,20,2012,"Fabricación de abonos y compuestos inorgánicos nitrogenados"
ciiu_2013,20,2013,"Fabricación de plásticos en formas primarias"
ciiu_2014,20,2014,"Fabricación de caucho sintético en formas primarias"
ciiu_2021,20,2021,"Fabricación de plaguicidas y otros productos químicos de uso agropecuario"
ciiu_2022,20,2022,"Fabricación de pinturas  barnices y revestimientos similares  tintas para impresión y masillas"
ciiu_2023,20,2023,"Fabricación de jabones y detergentes  preparados para limpiar y pulir, perfumes y preparados de tocador"
ciiu_2029,20,2029,"Fabricación de otros productos químicos n.c.p."
ciiu_2030,20,2030,"Fabricación de fibras sintéticas y artificiales"
ciiu_2100,21,2100,"Fabricación de productos farmacéuticos  sustancias químicas medicinales y productos botánicos de uso farmacéutico"
ciiu_2211,22,2211,"Fabricación de llantas y neumáticos de caucho"
